kommun_code,kommun_name,lan_code,lan_name,fa_region_code,fa_region_name
114,Upplands Vasby,1,Stockholm,1,Stockholm
115,Vallentuna,1,Stockholm,1,Stockholm
117,Osteraker,1,Stockholm,1,Stockholm
120,Varmdo,1,Stockholm,1,Stockholm
123,Jarfalla,1,Stockholm,1,Stockholm
125,Ekero,1,Stockholm,1,Stockholm
126,Huddinge,1,Stockholm,1,Stockholm
127,Botkyrka,1,Stockholm,1,Stockholm
128,Salem,1,Stockholm,1,Stockholm
136,Haninge,1,Stockholm,1,Stockholm
138,Tyreso,1,Stockholm,1,Stockholm
139,Upplands-Bro,1,Stockholm,1,Stockholm
140,Nykvarn,1,Stockholm,1,Stockholm
160,Taby,1,Stockholm,1,Stockholm
162,Danderyd,1,Stockholm,1,Stockholm
163,Sollentuna,1,Stockholm,1,Stockholm
180,Stockholm,1,Stockholm,1,Stockholm
181,Södertälje,1,Stockholm,1,Stockholm
182,Nacka,1,Stockholm,1,Stockholm
183,Sundbyberg,1,Stockholm,1,Stockholm
184,Solna,1,Stockholm,1,Stockholm
186,Lidingo,1,Stockholm,1,Stockholm
187,Vaxholm,1,Stockholm,1,Stockholm
188,Norrtalje,1,Stockholm,1,Stockholm
191,Sigtuna,1,Stockholm,1,Stockholm
192,Nynashamn,1,Stockholm,1,Stockholm
305,Håbo,3,Uppsala,2,Uppsala
330,Knivsta,3,Uppsala,2,Uppsala
331,Heby,3,Uppsala,2,Uppsala
360,Tierp,3,Uppsala,2,Uppsala
380,Uppsala,3,Uppsala,2,Uppsala
381,Enköping,3,Uppsala,2,Uppsala
382,Osthammar,3,Uppsala,2,Uppsala
428,Vingaker,4,Sodermanland,3,Eskilstuna
461,Gnesta,4,Sodermanland,3,Eskilstuna
480,Nyköping,4,Sodermanland,3,Eskilstuna
481,Oxelösund,4,Sodermanland,3,Eskilstuna
482,Flen,4,Sodermanland,3,Eskilstuna
483,Katrineholm,4,Sodermanland,3,Eskilstuna
484,Eskilstuna,4,Sodermanland,3,Eskilstuna
486,Strängnäs,4,Sodermanland,3,Eskilstuna
488,Trosa,4,Sodermanland,3,Eskilstuna
509,Ödeshög,5,Ostergotland,4,Linkoping
512,Ydre,5,Ostergotland,4,Linkoping
513,Kinda,5,Ostergotland,4,Linkoping
560,Boxholm,5,Ostergotland,4,Linkoping
561,Åtvidaberg,5,Ostergotland,4,Linkoping
562,Finspang,5,Ostergotland,4,Linkoping
563,Valdemarsvik,5,Ostergotland,4,Linkoping
580,Linkoping,5,Ostergotland,4,Linkoping
